,created,sentiment_score
9379,1656292242,0.0
9380,1656304429,8.0
9381,1656306618,3.0
9382,1656308949,2.0
9383,1656309317,7.0
9384,1656310486,4.0
9385,1656312200,11.0
9386,1656317915,20.0
9387,1656318065,8.0
9388,1656318619,-11.0
9389,1656319270,12.0
9390,1656322351,4.0
9391,1656325247,-2.0
9392,1656327663,13.0
9393,1656328793,-1.0
9394,1656331889,0.0
9395,1656333318,2.0
9396,1656333587,6.0
9397,1656336541,13.0
9398,1656338036,2.0
9399,1656338777,1.0
9400,1656339718,-2.0
9401,1656340219,1.0
9402,1656346763,1.0
9403,1656346831,1.0
9404,1656347430,0.0
9405,1656348368,1.0
9406,1656348959,5.0
9407,1656352143,4.0
9408,1656353327,0.0
9409,1656354581,1.0
9410,1656355981,1.0
9411,1656357852,7.0
9412,1656361430,1.0
9413,1656362054,-1.0
9414,1656363573,8.0
9415,1656366079,6.0
9416,1656366825,3.0
9417,1656370283,6.0
9418,1656374105,10.0
9419,1656376708,-5.0
9420,1656380101,4.0
9421,1656384176,3.0
9422,1656387420,3.0
9423,1656391800,11.0
9424,1656392420,1.0
9425,1656392564,3.0
9426,1656393456,3.0
9427,1656406766,-2.0
9428,1656408823,1.0
9429,1656409218,1.0
9430,1656413018,-4.0
9431,1656414300,12.0
9432,1656419392,2.0
9433,1656421618,4.0
9434,1656422273,7.0
9435,1656423470,13.0
9436,1656424001,5.0
9437,1656425543,3.0
9438,1656425918,-9.0
9439,1656427021,0.0
9440,1656427166,12.0
9441,1656430181,6.0
9442,1656432218,1.0
9443,1656433559,11.0
9444,1656433985,-1.0
9445,1656434655,6.0
9446,1656435633,9.0
9447,1656437510,3.0
9448,1656438903,-5.0
9449,1656439089,1.0
9450,1656444985,7.0
9451,1656445827,-1.0
9452,1656449316,2.0
9453,1656450470,8.0
9454,1656450808,-1.0
9455,1656452109,-1.0
9456,1656454253,5.0
9457,1656455069,7.0
9458,1656457477,4.0
9459,1656457939,1.0
9460,1656459658,3.0
9461,1656461421,-3.0
9462,1656462924,4.0
9463,1656465763,-2.0
9464,1656469031,4.0
9465,1656470934,1.0
9466,1656478937,0.0
9467,1656479009,3.0
9468,1656482928,3.0
9469,1656496285,14.0
9470,1656498512,14.0
9471,1656498583,3.0
9472,1656499157,-4.0
9473,1656499387,0.0
9474,1656500995,4.0
9475,1656501277,2.0
9476,1656502389,4.0
9477,1656502687,5.0
9478,1656503706,-1.0
9479,1656510386,10.0
9480,1656510394,8.0
9481,1656511857,5.0
9482,1656513745,2.0
9483,1656523447,0.0
9484,1656524146,1.0
9485,1656525390,1.0
9486,1656525541,4.0
9487,1656525980,2.0
9488,1656530942,-2.0
9489,1656531236,0.0
9490,1656531761,18.0
9491,1656532204,4.0
9492,1656533486,1.0
9493,1656534933,9.0
9494,1656535024,7.0
9495,1656537471,14.0
9496,1656539220,-2.0
9497,1656539506,-4.0
9498,1656542140,11.0
9499,1656542518,2.0
9500,1656543334,6.0
9501,1656553607,4.0
9502,1656554079,-3.0
9503,1656559072,0.0
9504,1656559288,0.0
9505,1656561558,4.0
9506,1656564456,2.0
9507,1656565342,10.0
9508,1656565639,3.0
9509,1656567015,5.0
9510,1656569836,10.0
9511,1656570037,8.0
9512,1656571483,3.0
9513,1656574943,-3.0
9514,1656577732,4.0
9515,1656578135,-3.0
9516,1656579378,8.0
9517,1656581007,4.0
9518,1656581833,-1.0
9519,1656582114,-2.0
9520,1656583409,3.0
9521,1656587642,2.0
9522,1656588020,-2.0
9523,1656588345,0.0
9524,1656592182,3.0
9525,1656594543,-1.0
9526,1656595524,5.0
9527,1656597694,-1.0
9528,1656598398,-1.0
9529,1656598876,6.0
9530,1656599515,3.0
9531,1656600920,7.0
9532,1656602158,22.0
9533,1656604643,1.0
9534,1656604790,2.0
9535,1656605013,-5.0
9536,1656608122,1.0
9537,1656608706,2.0
9538,1656611904,10.0
9539,1656612029,8.0
9540,1656612174,13.0
9541,1656613136,3.0
9542,1656615351,1.0
9543,1656615697,2.0
9544,1656617660,4.0
9545,1656619095,18.0
9546,1656619325,2.0
9547,1656619509,1.0
9548,1656619717,-3.0
9549,1656623402,0.0
9550,1656623726,2.0
9551,1656627100,3.0
9552,1656630053,14.0
9553,1656630232,10.0
9554,1656630854,-3.0
9555,1656631333,6.0
9556,1656631586,4.0
9557,1656632554,1.0
9558,1656634611,-3.0
9559,1656635923,1.0
9560,1656638820,4.0
9561,1656641643,-2.0
9562,1656642056,-1.0
9563,1656642604,4.0
9564,1656650351,5.0
9565,1656652156,3.0
9566,1656653317,4.0
9567,1656653564,8.0
9568,1656656792,1.0
9569,1656658803,10.0
9570,1656659152,-2.0
9571,1656660967,1.0
9572,1656661331,3.0
9573,1656662147,0.0
9574,1656662522,2.0
9575,1656662890,-4.0
9576,1656664370,6.0
9577,1656667063,32.0
9578,1656671279,3.0
9579,1656674769,1.0
9580,1656675855,0.0
9581,1656677353,16.0
9582,1656680872,12.0
9583,1656683717,3.0
9584,1656690016,0.0
9585,1656691070,4.0
9586,1656691828,0.0
9587,1656692736,3.0
9588,1656694528,-7.0
9589,1656694722,2.0
9590,1656694998,0.0
9591,1656695509,4.0
9592,1656697864,-1.0
9593,1656700034,0.0
9594,1656701250,1.0
9595,1656705953,0.0
9596,1656706291,1.0
9597,1656709971,0.0
9598,1656710003,2.0
9599,1656710734,2.0
9600,1656711689,2.0
9601,1656713436,1.0
9602,1656717589,1.0
9603,1656718771,29.0
9604,1656719939,2.0
9605,1656720613,12.0
9606,1656721221,-6.0
9607,1656721264,14.0
9608,1656725377,9.0
9609,1656726560,0.0
9610,1656726709,11.0
9611,1656730066,-2.0
9612,1656733787,0.0
9613,1656734451,4.0
9614,1656735899,6.0
9615,1656736864,0.0
9616,1656736954,20.0
9617,1656738141,3.0
9618,1656738676,5.0
9619,1656739912,5.0
9620,1656745933,5.0
9621,1656748046,4.0
9622,1656748375,10.0
9623,1656749390,1.0
9624,1656754383,4.0
9625,1656755268,1.0
9626,1656756675,13.0
9627,1656758126,2.0
9628,1656762793,2.0
9629,1656764797,11.0
9630,1656765351,4.0
9631,1656769417,4.0
9632,1656770958,5.0
9633,1656771306,1.0
9634,1656771364,4.0
9635,1656771522,3.0
9636,1656773651,4.0
9637,1656773991,1.0
9638,1656775212,10.0
9639,1656775510,12.0
9640,1656775529,10.0
9641,1656775551,-1.0
9642,1656776831,3.0
9643,1656780519,0.0
9644,1656781460,5.0
9645,1656783178,5.0
9646,1656785139,5.0
9647,1656787283,4.0
9648,1656790853,4.0
9649,1656791510,10.0
9650,1656794413,9.0
9651,1656794534,3.0
9652,1656794614,1.0
9653,1656796602,0.0
9654,1656797135,5.0
9655,1656798344,2.0
9656,1656804549,-4.0
9657,1656805399,7.0
9658,1656810066,2.0
9659,1656810760,2.0
9660,1656815673,6.0
9661,1656815974,1.0
9662,1656816423,5.0
9663,1656817976,3.0
9664,1656820732,4.0
9665,1656824370,2.0
9666,1656824483,3.0
9667,1656828016,-6.0
9668,1656829887,3.0
9669,1656831868,4.0
9670,1656838745,5.0
9671,1656840054,2.0
9672,1656841488,2.0
9673,1656842963,2.0
9674,1656844862,1.0
9675,1656846276,-11.0
9676,1656853809,-16.0
9677,1656855685,0.0
9678,1656866455,13.0
9679,1656868424,0.0
9680,1656872780,0.0
9681,1656872954,2.0
9682,1656873640,8.0
9683,1656873756,8.0
9684,1656874537,0.0
9685,1656876311,4.0
9686,1656876594,0.0
9687,1656879014,5.0
9688,1656879446,12.0
9689,1656879510,3.0
9690,1656882135,12.0
9691,1656883536,1.0
9692,1656885774,11.0
9693,1656888241,1.0
9694,1656888996,5.0
9695,1656890422,5.0
9696,1656903004,7.0
9697,1656904699,0.0
9698,1656905286,7.0
9699,1656910954,-1.0
9700,1656911227,3.0
9701,1656914484,-4.0
9702,1656914921,4.0
9703,1656918778,4.0
9704,1656921363,1.0
9705,1656925522,9.0
9706,1656925853,2.0
9707,1656928203,8.0
9708,1656928297,-2.0
9709,1656929635,5.0
9710,1656930388,-4.0
9711,1656935659,15.0
9712,1656936052,7.0
9713,1656938608,1.0
9714,1656943400,-1.0
9715,1656943900,11.0
9716,1656945477,-1.0
9717,1656946464,8.0
9718,1656947073,2.0
9719,1656948479,-1.0
9720,1656949729,0.0
9721,1656951911,-3.0
9722,1656952080,-3.0
9723,1656952634,-8.0
9724,1656956148,20.0
9725,1656958000,2.0
9726,1656959977,3.0
9727,1656960295,3.0
9728,1656961799,7.0
9729,1656966902,1.0
9730,1656968241,3.0
9731,1656971036,-2.0
9732,1656973129,10.0
9733,1656973854,4.0
9734,1656974606,-1.0
9735,1656977047,4.0
9736,1656977687,15.0
9737,1656978640,0.0
9738,1656982562,8.0
9739,1656983528,2.0
9740,1656986949,24.0
9741,1656987655,0.0
9742,1656997334,-2.0
9743,1656997722,3.0
9744,1657000662,2.0
9745,1657001412,1.0
9746,1657006513,4.0
9747,1657008513,5.0
9748,1657009833,3.0
9749,1657012889,6.0
9750,1657013134,-1.0
9751,1657015566,6.0
9752,1657016400,0.0
9753,1657018114,3.0
9754,1657019532,4.0
9755,1657020417,17.0
9756,1657020635,0.0
9757,1657030490,4.0
9758,1657033486,2.0
9759,1657040210,4.0
9760,1657040934,-1.0
9761,1657041321,-1.0
9762,1657045205,-1.0
9763,1657045436,0.0
9764,1657045676,11.0
9765,1657045695,5.0
9766,1657047070,5.0
9767,1657047165,1.0
9768,1657052271,-1.0
